"resource","consumer"
"Hyperiidea","Genypterus blacodes"
"Hyperiidea","Macruronus magellanicus"
"Hyperiidea","Merluccius hubbsi"
"Hyperiidea","Patagonotothen ramsayi"
"Hyperiidea","Salilota australis"
"Hyperiidea","Dipturus chilensis"
"Hyperiidea","Pygoscelis papua"
"Isopoda","Acanthocyclus albatrossis"
"Isopoda","Anasterias antarctica"
"Isopoda","Eurypodius latreillii"
"Isopoda","Halicarcinus planatus"
"Isopoda","Pagurus comptus"
"Isopoda","Harpagifer bispinis"
"Isopoda","Grimothea gregaria"
"Isopoda","Patagonotothen cornucola"
"Isopoda","Nemertea"
"Isopoda","Dissostichus eleginoides"
"Isopoda","Bathyraja brachyurops"
"Isopoda","Cottoperca trigloides"
"Isopoda","Genypterus blacodes"
"Isopoda","Sprattus fuegensis"
"Isopoda","Bathyraja griseocauda"
"Isopoda","Bathyraja scaphiops"
"Isopoda","Patagonotothen longipes"
"Isopoda","Patagonotothen sima"
"Isopoda","Patagonotothen tessellata"
"Isopoda","Arbacia dufresnii"
"Isopoda","Paralomis granulosa"
"Isopoda","Bathyraja albomaculata"
"Isopoda","Paranotothenia magellanica"
"Isopoda","Patagonotothen ramsayi"
"Isopoda","Salilota australis"
"Isopoda","Dipturus chilensis"
"Isopoda","Austrolycus depressiceps"
"Isopoda","Eleginops maclovinus"
"Isopoda","Lithodes santolla"
"Isopoda","Odontesthes nigricans"
"Isopoda","Schroederichthys bivius"
"Isopoda","Pygoscelis papua"
"Isopoda","Macronectes giganteus"
"Isopoda","Larus dominicanus"
"Isopoda","Larus scoresbii"
"Isopoda","Phalacrocorax atriceps"
"Laevilitorina caliginosa","Anasterias antarctica"
"Laevilitorina caliginosa","Nacella deaurata"
"Laevilitorina caliginosa","Nacella magellanica"
"Laevilitorina caliginosa","Harpagifer bispinis"
"Laevilitorina caliginosa","Paranotothenia magellanica"
"Larus dominicanus","Macronectes giganteus"
"Lithodes santolla","Phalacrocorax atriceps"
"Lithodes santolla","Phalacrocorax magellanicus"
"Loxechinus albus","Cosmasterias lurida"
"Macroalgae","Calliostoma nudum"
"Macroalgae","Fissurella picta"
"Macroalgae","Margarella violacea"
"Macroalgae","Acanthocyclus albatrossis"
"Macroalgae","Crepipatella dilatata"
"Macroalgae","Eurypodius latreillii"
"Macroalgae","Laevilitorina caliginosa"
"Macroalgae","Pagurus comptus"
"Macroalgae","Grimothea gregaria"
"Macroalgae","Gammaridea"
"Macroalgae","Peltarion spinulosum"
"Macroalgae","Bathyraja brachyurops"
"Macroalgae","Cottoperca trigloides"
"Macroalgae","Bathyraja griseocauda"
"Macroalgae","Arbacia dufresnii"
"Macroalgae","Paralomis granulosa"
"Macroalgae","Paranotothenia magellanica"
"Macroalgae","Eleginops maclovinus"
"Macroalgae","Lithodes santolla"
"Macroalgae","Odontesthes nigricans"
"Macroalgae","Schroederichthys bivius"
"Macrocystis pyrifera","Fissurella picta"
"Macrocystis pyrifera","Isopoda"
"Macrocystis pyrifera","Margarella violacea"
"Macrocystis pyrifera","Acanthocyclus albatrossis"
"Macrocystis pyrifera","Amphipoda"
"Macrocystis pyrifera","Crepipatella dilatata"
"Macrocystis pyrifera","Fissurella oriens"
"Macrocystis pyrifera","Nacella deaurata"
"Macrocystis pyrifera","Nacella magellanica"
"Macrocystis pyrifera","Nacella mytilina"
"Macrocystis pyrifera","Plaxiphora sp"
"Macrocystis pyrifera","Polyplacophora"
"Macrocystis pyrifera","Pseudechinus magellanicus"
"Macrocystis pyrifera","Siphonaria lessonii"
"Macrocystis pyrifera","Grimothea gregaria"
"Macrocystis pyrifera","Patagonotothen tessellata"
"Macrocystis pyrifera","Arbacia dufresnii"
"Macrocystis pyrifera","Loxechinus albus"
"Macrocystis pyrifera","Paralomis granulosa"
"Macrocystis pyrifera","Eleginops maclovinus"
"Macrocystis pyrifera","Lithodes santolla"
"Macruronus magellanicus","Dissostichus eleginoides"
"Macruronus magellanicus","Bathyraja brachyurops"
"Macruronus magellanicus","Cottoperca trigloides"
"Macruronus magellanicus","Genypterus blacodes"
"Macruronus magellanicus","Merluccius hubbsi"
